c FILE			: graphs/g_1000_43.txt
c No. of vertices	: 1000
c No. of directed edges	: 100000
c Max. weight		: 100
c Min. weight		: 90
c A directed arc from u to v of weight w
c is represented below as ' a  u  v  w '
p sp 1000 100000
a 4 274 95
a 578 502 91
a 94 359 96
a 532 800 92
a 64 5 91
a 423 376 93
a 376 938 96
a 973 814 93
a 469 9 91
a 158 492 93
a 308 58 92
a 526 387 98
a 954 969 99
a 774 8 94
a 130 410 92
a 321 384 99
a 230 2 95
a 290 58 92
a 252 63 90
a 898 508 90
a 470 348 98
a 11 73 95
a 16 54 91
a 16 5 99
a 74 691 99
a 751 273 95
a 417 11 93
a 207 64 99
a 304 274 95
a 414 422 98
a 524 196 97
a 752 148 92
a 2 1 96
a 55 283 95
a 360 501 91
a 629 579 99
a 133 141 92
a 64 314 92
a 661 36 94
a 660 276 94
a 504 823 90
a 148 85 94
a 252 2 91
a 532 698 92
a 539 626 99
a 797 752 96
a 127 214 91
a 297 800 94
a 54 557 97
a 394 126 90
a 226 210 94
a 410 251 92
a 203 453 95
a 270 266 91
a 407 438 95
a 173 223 94
a 198 134 95
a 251 672 90
a 526 511 92
a 402 387 98
a 195 609 90
a 195 119 95
a 85 78 97
a 261 11 92
a 94 70 97
a 254 729 95
a 276 335 90
a 723 692 94
a 220 149 98
a 801 609 98
a 71 81 94
a 908 969 97
a 331 866 99
a 601 245 92
a 314 783 90
a 532 252 96
a 332 777 93
a 70 695 90
a 180 235 91
a 761 751 96
a 526 398 97
a 953 78 96
a 26 316 97
a 1 48 99
a 282 289 93
a 953 142 90
a 116 735 90
a 242 301 91
a 313 456 90
a 835 27 98
a 876 251 95
a 42 26 91
a 160 222 93
a 261 285 91
a 408 535 95
a 446 789 90
a 564 33 97
a 644 880 95
a 770 942 96
a 11 23 98
a 376 164 90
a 297 377 94
a 564 570 96
a 783 957 95
a 320 344 90
a 269 5 91
a 579 204 94
a 961 813 95
a 226 179 99
a 876 4 95
a 714 839 95
a 484 417 98
a 605 32 97
a 2 164 99
a 766 331 92
a 282 259 99
a 461 571 99
a 32 695 90
a 453 383 92
a 994 991 91
a 64 314 91
a 206 737 97
a 188 191 92
a 320 314 91
a 241 211 94
a 5 51 98
a 94 220 92
a 664 501 92
a 259 401 90
a 26 203 95
a 182 619 90
a 891 770 98
a 183 380 92
a 9 352 96
a 914 726 94
a 391 398 94
a 314 438 94
a 258 23 90
a 234 157 98
a 1 2 90
a 376 417 91
a 82 283 98
a 266 329 93
a 157 504 92
a 54 289 91
a 105 255 96
a 526 761 91
a 782 234 98
a 300 285 93
a 456 710 96
a 137 195 96
a 430 203 91
a 703 144 96
a 5 199 97
a 814 946 90
a 661 127 93
a 161 157 95
a 508 533 95
a 269 290 93
a 517 519 97
a 283 48 93
a 807 50 90
a 1 63 96
a 551 550 95
a 196 269 99
a 463 461 93
a 704 696 97
a 908 798 90
a 101 102 96
